sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
165,329,-0.65600586,-0.20019531,0.73095703,987.4809,974.5496,5.1603055,0.030273438,-0.2548828,0.9645996,999.61835,997.5115,994.90076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,331,-0.67211914,-0.12475586,0.7314453,987.4504,974.58014,5.221374,0.08129883,-0.20629883,0.9675293,999.6794,997.5115,994.87024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,333,-0.670166,-0.11621094,0.7836914,987.55725,974.626,5.114504,0.10961914,-0.27026367,0.97143555,999.8015,997.4809,994.8397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,335,-0.6015625,-0.13989258,0.74853516,987.7405,974.4885,5.19084,0.057373047,-0.23925781,0.94384766,999.8626,997.4809,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,337,-0.6496582,-0.122802734,0.7480469,987.78625,974.41223,5.0839696,0.14501953,-0.2512207,0.99487305,999.87787,997.4504,994.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,339,-0.6159668,-0.15332031,0.78686523,987.6641,974.4275,4.9923663,0.10205078,-0.23925781,0.9550781,999.8931,997.41986,994.76337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,341,-0.6672363,-0.16333008,0.7878418,987.61835,974.5191,5.068702,0.09350586,-0.2861328,0.9472656,999.8321,997.38934,994.7481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,343,-0.64941406,-0.19042969,0.7602539,987.7099,974.4275,5.0839696,0.1184082,-0.21728516,0.97265625,999.78625,997.3435,994.7023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,345,-0.6479492,-0.19482422,0.7404785,987.7405,974.47327,5.1603055,0.07714844,-0.22460938,0.95874023,999.87787,997.38934,994.6565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,347,-0.65283203,-0.13720703,0.72802734,987.78625,974.53436,5.29771,0.032958984,-0.2722168,0.9711914,999.8931,997.3435,994.64124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
